,id,rodada_id,pontos,preco,variacao,media,apelido,ult_pontuacao,scout,posicao,clube,status,em_casa
956,71667,22,0.0,2.8,0.0,0.46,Geovane,0.0,"{'CA': 4, 'FC': 37, 'FD': 1, 'FF': 8, 'FS': 9, 'PE': 34, 'RB': 21}",mei,GOI,Nulo,1
980,71719,22,0.0,5.22,0.0,1.71,Elton,0.0,"{'CA': 1, 'FC': 19, 'FD': 1, 'FF': 4, 'PE': 15, 'RB': 18}",mei,BAH,Contundido,0
992,68886,22,0.0,4.27,0.0,1.1,Digão,5.0,"{'CA': 1, 'CV': 2, 'FC': 15, 'FF': 1, 'FS': 7, 'I': 1, 'PE': 16, 'RB': 12, 'SG': 4}",zag,FLU,Dúvida,0
1016,68834,22,0.0,5.28,0.0,3.18,Rithely,0.0,"{'A': 1, 'FC': 14, 'FD': 1, 'FF': 2, 'FS': 6, 'PE': 13, 'RB': 17}",mei,INT,Nulo,0
1028,68873,22,0.0,5.91,0.0,4.19,Paulo Victor,6.7,"{'CA': 1, 'DD': 28, 'FS': 1, 'GS': 14, 'PE': 11, 'SG': 7}",gol,GRE,Provável,1
1040,68887,22,0.0,6.62,0.0,1.92,Gum,0.0,"{'CA': 1, 'CV': 1, 'FC': 10, 'FD': 6, 'FF': 7, 'FS': 14, 'G': 1, 'GC': 1, 'I': 2, 'PE': 42, 'RB': 13, 'SG': 4}",zag,CHA,Provável,0
1052,71787,22,0.0,3.8,0.0,0.0,Juninho Quixadá,0.6,"{'FC': 2, 'FF': 3, 'FS': 3, 'FT': 1, 'PE': 4}",mei,CEA,Nulo,0
1088,68896,22,0.0,5.0,0.0,0.0,Ramon,0.0,{},lat,VAS,Nulo,1
1100,71724,22,0.0,3.05,0.0,2.37,Agenor,0.0,"{'CV': 1, 'DD': 9, 'FS': 3, 'GS': 7, 'PE': 1, 'SG': 1}",gol,FLU,Nulo,0
1112,71829,22,0.0,6.7,0.0,2.13,Júnior Urso,0.0,"{'CA': 3, 'FC': 21, 'FD': 7, 'FF': 6, 'FS': 15, 'I': 1, 'PE': 23, 'RB': 22}",mei,COR,Contundido,0
1124,71920,22,0.0,4.59,0.0,1.97,Michel,2.2,"{'CA': 3, 'FC': 28, 'FD': 5, 'FF': 5, 'FS': 2, 'GC': 2, 'PE': 25, 'RB': 39}",mei,GRE,Provável,1
1172,72071,22,0.0,4.0,0.0,0.0,Amaral,0.0,{},mei,CSA,Contundido,1
