,id,apelido,ult_pontuacao,scout,posicao,clube,status,em_casa
437,86932,Gustavo,-2.5,"{'CA': 1, 'FC': 14, 'FD': 4, 'FF': 5, 'FS': 10, 'G': 1, 'I': 2, 'PE': 2, 'RB': 2}",ata,COR,Nulo,0
438,101715,Alerrandro,1.2,"{'A': 1, 'FC': 5, 'FD': 6, 'FF': 9, 'FS': 9, 'FT': 2, 'G': 2, 'I': 3, 'PE': 8, 'RB': 8}",ata,ATL,Nulo,0
439,93787,Andrey,5.9,"{'CA': 1, 'FC': 13, 'FD': 3, 'FF': 5, 'FS': 9, 'FT': 1, 'G': 1, 'PE': 21, 'RB': 20}",mei,VAS,Dúvida,1
440,91508,Leonardo Valencia,0.4,"{'A': 1, 'CA': 2, 'FC': 4, 'FD': 2, 'FF': 6, 'FS': 4, 'G': 1, 'I': 1, 'PE': 17, 'RB': 3}",mei,BOT,Provável,0
441,101716,Bruninho,0.0,"{'FC': 5, 'FD': 5, 'FF': 4, 'FS': 6, 'G': 1, 'PE': 6, 'RB': 4}",mei,ATL,Provável,0
442,91573,Arboleda,6.8,"{'A': 1, 'CA': 5, 'FC': 19, 'FD': 4, 'FF': 5, 'FS': 11, 'I': 1, 'PE': 31, 'RB': 15, 'SG': 5}",zag,SAO,Provável,0
443,91607,Rony,2.7,"{'A': 3, 'CA': 5, 'FC': 39, 'FD': 14, 'FF': 27, 'FS': 40, 'FT': 1, 'G': 4, 'I': 8, 'PE': 36, 'RB': 18}",ata,ATL,Provável,0
444,87192,Zeca,5.9,"{'CA': 3, 'FC': 12, 'FD': 1, 'FS': 5, 'PE': 31, 'RB': 35, 'SG': 6}",lat,INT,Provável,0
445,91708,Nino,9.0,"{'A': 1, 'CA': 6, 'FC': 23, 'FD': 2, 'FF': 5, 'FS': 13, 'G': 1, 'PE': 20, 'RB': 31, 'SG': 5}",zag,FLU,Provável,0
446,87009,Nathan,0.7,"{'CA': 2, 'FC': 17, 'FD': 4, 'FF': 5, 'FS': 5, 'G': 4, 'PE': 20, 'RB': 13}",mei,ATL,Suspenso,0
447,91712,Matheus Alves,0.0,{},gol,GOI,Nulo,1
448,101717,Marrony,1.2,"{'A': 1, 'CA': 3, 'CV': 1, 'FC': 33, 'FD': 9, 'FF': 17, 'FS': 32, 'G': 1, 'I': 5, 'PE': 31, 'RB': 26}",ata,VAS,Provável,1
449,87342,Kannemann,0.0,"{'CA': 4, 'FC': 17, 'FS': 11, 'G': 1, 'PE': 9, 'RB': 18, 'SG': 3}",zag,GRE,Dúvida,1
450,87225,Pedro Henrique,0.0,"{'FC': 2, 'FD': 2, 'FF': 3, 'FS': 12, 'PE': 16, 'RB': 15, 'SG': 6}",zag,ATL,Contundido,0
451,87393,Gabriel,-0.4,"{'CA': 3, 'FC': 9, 'FD': 1, 'FF': 3, 'FS': 20, 'G': 1, 'I': 1, 'PE': 34, 'RB': 31, 'SG': 7}",zag,BOT,Provável,0
452,87437,Caíque Sá,0.0,"{'CA': 1, 'FC': 4, 'FS': 1, 'PE': 5, 'RB': 3}",lat,CHA,Nulo,0
453,87552,Vitor Bueno,7.3,"{'FC': 7, 'FD': 2, 'FF': 6, 'FS': 15, 'FT': 2, 'G': 1, 'PE': 18, 'RB': 15}",mei,SAO,Dúvida,0
454,87470,Thaciano,2.2,"{'A': 1, 'CA': 4, 'FC': 19, 'FD': 8, 'FF': 4, 'FS': 15, 'G': 1, 'I': 3, 'PE': 16, 'RB': 23}",mei,GRE,Nulo,1
455,87258,Soteldo,0.0,"{'A': 2, 'CA': 9, 'FC': 13, 'FD': 12, 'FF': 14, 'FS': 30, 'FT': 1, 'G': 4, 'I': 10, 'PE': 50, 'RB': 18}",mei,SAN,Provável,1
456,87747,Yago Felipe,6.2,"{'A': 1, 'CA': 5, 'FC': 26, 'FD': 2, 'FF': 3, 'FS': 28, 'FT': 2, 'G': 1, 'I': 1, 'PE': 27, 'RB': 36}",mei,GOI,Provável,1
457,87679,Tréllez,0.0,"{'FC': 5, 'FD': 3, 'FF': 6, 'FS': 4, 'I': 5, 'PE': 2, 'RB': 1}",ata,INT,Nulo,0
458,91808,Caíque França,0.0,{},gol,COR,Nulo,0
459,91772,David Duarte,0.0,"{'FC': 2, 'FF': 3, 'FS': 3, 'PE': 10, 'RB': 7, 'SG': 2}",zag,GOI,Contundido,1
